"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"DCA18CA055","ACC","96520","2017-12-06T05:07:00Z","Fort Lauderdale","Florida","United States",,"N670NK","false","Aviation","DirectorBrief","2018-06-18T04:00:00Z","Serious","0","1","1","an inadvertent encounter with convective turbulence that resulted in a flight attendant injury.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=96520"
"GAA18CA081","ACC","96464","2017-12-05T13:30:00Z","Cheboygan","Michigan","United States",,"N4887S","false","Aviation","DirectorBrief","2018-07-05T04:00:00Z","None","0","0","0","The pilot’s failure to maintain the airplane’s rate of descent in gusting wind conditions resulting in a hard landing and runway excursion.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent rate - Not attained/maintained, Environmental issues - Physical environment - Object/animal/substance - Runway/taxi/approach light - Contributed to outcome, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=96464"
"DCA18CA043","ACC","96472","2017-12-03T20:25:00Z","Miami","Florida","United States",,"N9011P, N344PP","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","None","0","0","0","The failure of the flight crew of N9011P to maintain an appropriate clearance from N344PP, which was stopped on the taxiway.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew","https://data.ntsb.gov/Docket?ProjectID=96472"
"DCA18IA026","INC","96406","2017-11-29T13:06:00Z","Atlanta","Georgia","United States",,"N852DN","false","Aviation","DirectorBrief","2022-05-10T04:00:00Z","None","0","0","0","The flight crewmembers’ failure to properly monitor the airplane’s flightpath, which caused the approach to become unstabilized and resulted in the airplane’s descent below the decision altitude while misaligned with the localizer course. Contributing to the incident were the first officer’s delay in setting go-around thrust after the captain called for the go-around and the captain’s failure to take control of the airplane after go-around thrust was not immediately set, both of which caused the airplane to come within about 50 ft vertically of an occupied taxiway.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Flight crew, Personnel issues - Action/decision - Action - Delayed action - Copilot, Personnel issues - Action/decision - Action - Lack of action - Pilot","https://data.ntsb.gov/Docket?ProjectID=96406"
"DCA18WA027","ACC","96408","2017-11-29T06:00:00Z","Bogota",,"Colombia",,"N14115","false","Aviation","None",,"Serious","0","1","0",,,"https://data.ntsb.gov/Docket?ProjectID=96408"
"DCA18LA024","ACC","96383","2017-11-27T21:45:00Z","Jamaica","New York","United States",,"SU-GDL, G-VRAY","false","Aviation","DirectorBrief","2022-05-04T04:00:00Z",,,,,"The air traffic controller's improper instruction to the Egypt Air airplane flight crew to pass in an area where passing is prohibited, which led to a ground collision.","Personnel issues - Action/decision - Action - Incorrect action performance - ATC personnel","https://data.ntsb.gov/Docket?ProjectID=96383"
"DCA18WA028","INC","96410","2017-11-23T09:10:00Z","Latvia",,"Latvia",,"LNN-II","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96410"
"ERA18LA033","ACC","96398","2017-11-22T20:45:00Z","Presque Isle","Maine","United States",,"N421RX","false","Aviation","DirectorBrief","2019-07-23T04:00:00Z","Minor","0","0","2","The in-flight leakage of fuel from the fuel injection system's mixture shaft onto the hot turbocharger, which resulted in an in-flight fire, and the pilot's inability to see the runway due to reduced visibility conditions and conduct a successful landing.","Aircraft - Aircraft power plant - Engine fuel and control - Fuel controlling system - Damaged/degraded, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low ceiling - Contributed to outcome","https://data.ntsb.gov/Docket?ProjectID=96398"
"DCA18WA038","INC","96458","2017-11-22T04:47:00Z","Foz do Iguacu County",,"Brazil",,"PR-GXQ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96458"
"DCA18WA047","INC","96482","2017-11-20T13:20:00Z","Jauja",,"Peru",,"OB-2140P","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96482"
"CEN18FA033","ACC","96342","2017-11-19T20:55:00Z","Stuttgart","Arkansas","United States",,"N620PA","false","Aviation","DirectorBrief","2018-11-05T05:00:00Z","Fatal","3","0","0","An in-flight loss of control due to bird strikes.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Awareness of condition, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on personnel, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=96342"
"DCA18CA074","ACC","96582","2017-11-19T14:30:00Z","Los Angeles","California","United States",,"N740SW","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","Serious","0","1","0","The provisioning agent's lack of situational awareness while stepping from the airplane to the provisioning van.  Contributing to the accident was the provisioning vans failed switch.","Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Contributed to outcome, Personnel issues - Psychological - Attention/monitoring - Attention - Ground crew","https://data.ntsb.gov/Docket?ProjectID=96582"
"DCA18WA023","INC","96376","2017-11-19T03:45:00Z","Guayaquil",,"Ecuador",,"YV2937","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96376"
"WPR18WA038","ACC","96384","2017-11-18T05:00:00Z","Emerald Aerodrome",,"Australia",,"VH-SDZ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96384"
"ERA18WA028","ACC","96354","2017-11-15T10:05:00Z","Ngorongoro",,"Tanzania",,"5H-EGG","false","Aviation","None",,"Fatal","11","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96354"
"ENG18RA004","INC","96326","2017-11-08T19:50:00Z","Johannesburg",,"South Africa",,"ZS-ASW","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96326"
"ENG18IA003","INC","96307","2017-11-08T00:45:00Z","Seattle","Washington","United States",,"N375HA","false","Aviation","DirectorBrief","2022-06-28T04:00:00Z","None","0","0","0","The loss of control of the left-hand engine and the subsequent thermal damage to the left wing on landing during engine reverse operation was due to a blockage of the variable stator vane torque motor filter that resulted in the engine’s electronic engine control to improper schedule maximum fuel flow resulting in flames out the engine’s exhaust tailpipe that impinged the wing.
Contributing to the event were: 
-	The presence of water containing dissolved aluminum sulfate (alum) in the airplane fuel system that initiated a sudden blockage of the engine VSV TM SP filter. 
-	The maintenance provider omitted to sump the fuel tanks during the 10-day period of inactivity of the airplane. 
-	While the engine was in an internally stalled condition during the reverse and post-reverse thrust operation, the electronic engine control logic allowed the fuel metering unit to supply maximum fuel flow despite the throttle at idle speed.","Aircraft - Aircraft handling/service - Maintenance/inspections - Scheduled maint checks - Not serviced/maintained, Aircraft - Aircraft power plant - Engine fuel and control - Fuel controlling system - Not specified, Aircraft - Fluids/misc hardware - Fluids - Fuel - Unknown/Not determined","https://data.ntsb.gov/Docket?ProjectID=96307"
"ANC18LA005","ACC","96246","2017-10-21T06:30:00Z","Anchorage","Alaska","United States",,"N363JH","false","Aviation","DirectorBrief","2020-06-29T04:00:00Z","None","0","0","0","The pilot's failure to extend the landing gear before landing, which resulted in a gear-up landing. Contributing to the accident was the pilot's fatigue and complacency.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Configuration - Incorrect use/operation, Personnel issues - Physical - Alertness/Fatigue - (general) - Pilot, Personnel issues - Psychological - Personality/attitude - Complacency - Pilot","https://data.ntsb.gov/Docket?ProjectID=96246"
"ERA18LA011","ACC","96209","2017-10-18T16:45:00Z","St. Petersburg","Florida","United States",,"N900CR","false","Aviation","DirectorBrief","2021-05-27T04:00:00Z","Minor","0","0","4","The pilot's mismanagement of the onboard fuel, which resulted in fuel starvation, a total loss of power to both engines, and a subsequent forced landing.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid management","https://data.ntsb.gov/Docket?ProjectID=96209"
"DCA18WA016","INC","96263","2017-10-13T07:19:00Z","Moscow",,"Russia",,"VQ-BJP","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96263"
"DCA18CA001","ACC","96133","2017-10-02T09:40:00Z","Chicago","Illinois","United States",,"N930WN","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","None","0","0","0","the mechanical failure of the tugs fuel governor, which made it difficult for the ramp agent to stop the tug.  Contributing to the accident was the lack of guidance on how ground personnel were to handle vehicle malfunctions.","Aircraft - Aircraft handling/service - Loading - (general) - Not serviced/maintained, Organizational issues - Support/oversight/monitoring - Training - Initial training - Training organization","https://data.ntsb.gov/Docket?ProjectID=96133"
"DCA17CA214","ACC","96122","2017-09-30T11:50:00Z","Arlington","Virginia","United States",,"N841NN, N982VJ","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","None","0","0","0","The failure N841NNs captain to maintain appropriate clearance from N982VJ, which was stopped on the taxiway.","Personnel issues - Action/decision - Action - Incorrect action performance - Pilot","https://data.ntsb.gov/Docket?ProjectID=96122"
"ENG17RA039","ACC","96116","2017-09-30T04:00:00Z","Goose Bay",,"Canada",,"F-HPJE","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96116"
"DCA17WA215","INC","96131","2017-09-29T04:00:00Z","Budapest",,"Hungary",,"EI-FRR","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96131"
"DCA17WA216","INC","96132","2017-09-28T19:04:00Z","Luga",,"Malta",,"G-FDZJ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96132"
"DCA17WA226","INC","97007","2017-09-27T18:26:00Z","Dublin",,"Ireland",,"EC-LVQ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=97007"
"DCA17CA217","ACC","96147","2017-09-25T17:00:00Z","Sioux City","Iowa","United States",,"N500WR","false","Aviation","DirectorBrief","2020-06-08T04:00:00Z","Serious","0","1","0","the flight attendant accidentally pouring hot water on his hand which resulted in a 2nd degree burn.","Personnel issues - Task performance - (general) - (general) - Cabin crew","https://data.ntsb.gov/Docket?ProjectID=96147"
"DCA17WA205","INC","96069","2017-09-23T04:00:00Z","Osaka",,"Japan",,"PHBQC","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96069"
"DCA17WA203","INC","96066","2017-09-22T04:00:00Z","Hong Kong",,"Hong Kong",,"B-LNS, OM-ACB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96066"
"DCA17WA201","INC","96050","2017-09-19T04:00:00Z","Mumbai",,"India",,"VT-SGZ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96050"
"DCA17WA204","INC","96067","2017-09-17T04:00:00Z","Aqaba",,"Jordan",,"JY-SOA","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96067"
"WPR17LA207","ACC","96030","2017-09-16T15:30:00Z","Sedona","Arizona","United States",,"N786WW","false","Aviation","DirectorBrief","2019-03-18T04:00:00Z","None","0","0","0","The pilot's failure to maintain clearance from a light pole while taxiing.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Pole - Contributed to outcome","https://data.ntsb.gov/Docket?ProjectID=96030"
"DCA17WA209","ACC","96073","2017-09-15T04:00:00Z","Christ Church",,"Barbados",,"N137AA","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96073"
"DCA17CA197","ACC","96040","2017-09-13T16:45:00Z","Charlotte","North Carolina","United States",,"N261PS","false","Aviation","DirectorBrief","2018-03-09T05:00:00Z","Serious","0","1","0","the tug operator's initiation of a right turn onto the perpendicular terminal road in proximity to the airplane.","Personnel issues - Action/decision - Action - Incorrect action performance - Ground crew","https://data.ntsb.gov/Docket?ProjectID=96040"
"CEN17LA350","ACC","96008","2017-09-12T21:45:00Z","Greeley","Colorado","United States",,"N121CZ","false","Aviation","DirectorBrief","2018-01-25T05:00:00Z","None","0","0","0","The bus driver's failure to maintain clearance from the standing airplane during dark night conditions. Contributing to the accident was the airport's lack of an escort for the bus.","Personnel issues - Psychological - Attention/monitoring - Attention - Other, Environmental issues - Physical environment - Object/animal/substance - Aircraft - Effect on operation, Environmental issues - Conditions/weather/phenomena - Light condition - Dark - Effect on personnel, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - Airport","https://data.ntsb.gov/Docket?ProjectID=96008"
"DCA17CA195","ACC","96000","2017-09-12T14:10:00Z","Los Angeles","California","United States",,"N69813, C-GHOZ","false","Aviation","DirectorBrief","2018-09-05T04:00:00Z","None","0","0","0","the B737 flight crew's misjudgment of the clearance between their wingtip and the B767 horizontal stabilizer.","Personnel issues - Action/decision - Action - Incorrect action performance - Flight crew","https://data.ntsb.gov/Docket?ProjectID=96000"
"DCA17WA229","INC","100508","2017-09-11T02:08:00Z","Conakry",,"Guinea",,"CN-ROJ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=100508"
"ERA17MA316","ACC","95967","2017-09-08T12:20:00Z","Hertford","North Carolina","United States",,"N146DU","false","Aviation","DirectorBrief","2021-01-28T05:00:00Z","Fatal","4","0","0","A failure of the rear bearing in the No. 2 engine, which (1) created multiple and likely unexpected and confusing cockpit indications, resulting in the pilot's improper diagnosis and subsequent erroneous shutdown of the No. 1 engine, and (2) the resulting degraded the performance of the No. 2 engine, until it ultimately lost power. The complete loss of engine power likely occurred at an altitude and/or airspeed that was too low for the pilot to execute a successful emergency autorotative landing.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Turbine section - Failure, Environmental issues - Task environment - Physical workspace - Warnings/alarms - Response/compensation, Personnel issues - Action/decision - Info processing/decision - Identification/recognition - Pilot, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Attain/maintain not possible, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Prop/rotor parameters - Attain/maintain not possible","https://data.ntsb.gov/Docket?ProjectID=95967"
"GAA17CA527","ACC","95981","2017-09-06T12:30:00Z","Kotzebue","Alaska","United States",,"N4088M","false","Aviation","DirectorBrief","2017-12-15T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control while landing on an unimproved airstrip in gusting wind conditions.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - (general) - Effect on equipment","https://data.ntsb.gov/Docket?ProjectID=95981"
"ENG17IA036","INC","95957","2017-09-06T01:19:00Z","Las Vegas","Nevada","United States",,"N686DA","false","Aviation","DirectorBrief","2019-09-30T04:00:00Z","None","0","0","0","A No. 1 (left) engine undercowl fire caused by a fuel nozzle installation error during engine overhaul at Delta TechOps. A fuel nozzle b-nut was cross threaded, which allowed fuel to leak on hot engine case surfaces and subsequently ignite.","Aircraft - Aircraft power plant - Engine fuel and control - Fuel injector nozzle - Incorrect service/maintenance","https://data.ntsb.gov/Docket?ProjectID=95957"
"GAA17CA549","ACC","96083","2017-09-05T16:00:00Z","Chicken","Alaska","United States",,"N734GW","false","Aviation","DirectorBrief","2018-01-11T05:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from a sign while taking off from a road.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Sign/marker - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=96083"
"DCA17WA218","ACC","96176","2017-09-05T04:00:00Z","Chochin",,"India",,"VT-AYB","false","Aviation","None",,"Minor","0","0","3",,,"https://data.ntsb.gov/Docket?ProjectID=96176"
"DCA17CA194","ACC","95980","2017-09-04T16:31:00Z","El Paso","Texas","United States",,"N938DN","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","Serious","0","1","0","an inadvertent encounter with turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - (general) - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=95980"
"GAA17CA520","ACC","95958","2017-09-03T19:04:00Z","Wilmington","Delaware","United States",,"N378QS","false","Aviation","DirectorBrief","2017-11-27T05:00:00Z","Serious","0","1","0","The passenger’s inadvertent slip on the airplane's air stairs during deplaning, which resulted in a broken ankle.","Personnel issues - Miscellaneous - (general) - (general) - Passenger","https://data.ntsb.gov/Docket?ProjectID=95958"
"DCA17WA190","INC","95948","2017-09-01T00:20:00Z","Medellin",,"Colombia",,"HK4535","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95948"
"GAA17CA570","ACC","96145","2017-08-30T04:00:00Z","Saipan",,"United States",,"N4078J","false","Aviation","DirectorBrief","2018-04-23T04:00:00Z","None","0","0","0","Impact with multiple birds while retracting the landing gear, which resulted in the subsequent failure of the right inboard main landing gear door actuator hose and prevented the pilot from being able to extend the landing gear.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Aircraft - Aircraft systems - Hydraulic power system - Hydraulic, main system - Failure","https://data.ntsb.gov/Docket?ProjectID=96145"
"WPR17IA189","INC","95904","2017-08-28T20:00:00Z","San Jose","California","United States",,"N503UP","false","Aviation","DirectorBrief","2021-05-06T04:00:00Z","None","0","0","0","The mechanic’s incorrect installation of the right main landing gear (MLG) aft trunnion pivot pin, which resulted in the pin separating from the trunnion, the trunnion puncturing the right wing, and the right MLG collapsing.","Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Maintenance personnel, Aircraft - Fluids/misc hardware - Misc hardware - Fasteners - Incorrect service/maintenance","https://data.ntsb.gov/Docket?ProjectID=95904"
"DCA17WA189","INC","95939","2017-08-27T23:33:00Z","Lima",,"Peru",,"N491TA","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95939"
"DCA17WA220","INC","96212","2017-08-23T11:13:00Z","Zurich",,"Switzerland",,"N68061","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96212"
"DCA17LA183","ACC","95885","2017-08-22T18:21:00Z","McKellar","Tennessee","United States",,"N745SK","false","Aviation","DirectorBrief","2021-06-08T04:00:00Z","Serious","0","2","9","An encounter with convective turbulence while maneuvering to avoid conflicting traffic.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=95885"
"DCA17CA181","ACC","95831","2017-08-15T19:15:00Z","Queens","New York","United States",,"N377DA, N175AN","false","Aviation","DirectorBrief","2020-07-08T04:00:00Z","None","0","0","0","the Delta B737 captain's failure to maintain proper clearance between his airplane and the stopped American B757.","Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot","https://data.ntsb.gov/Docket?ProjectID=95831"
"ANC17LA043","ACC","95822","2017-08-14T07:33:00Z","Juneau","Alaska","United States",,"N745KP","false","Aviation","DirectorBrief","2021-05-06T04:00:00Z","None","0","0","0","The total loss of engine power due to fuel starvation.","Aircraft - Aircraft systems - Fuel system - Fuel indication system - Not used/operated, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Wet surface - Contributed to outcome, Aircraft - Aircraft systems - Fuel system - Fuel distribution - Unknown/Not determined","https://data.ntsb.gov/Docket?ProjectID=95822"
"DCA17WA176","INC","95812","2017-08-13T14:20:00Z","London",,"United Kingdom",,"N1608","false","Aviation","None",,"Minor","0","0","1",,,"https://data.ntsb.gov/Docket?ProjectID=95812"
"DCA17WA171","INC","95795","2017-08-10T06:52:00Z","Bacau",,"Romania",,"YR-BAJ","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95795"
"DCA17WA172","INC","95796","2017-08-08T10:35:00Z","Madrid",,"Spain",,"N825AA","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95796"
"DCA17WA175","INC","95810","2017-08-08T04:00:00Z","Middlemount",,"Australia",,"VH-JGB","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95810"
"DCA17WA225","INC","96925","2017-08-08T01:00:00Z","Dubai",,"United Arab Emirates",,"A6-FDS","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=96925"
"DCA17LA173","ACC","95804","2017-08-05T15:35:00Z","East Hampton","New York","United States",,"N276AY","false","Aviation","DirectorBrief","2020-04-22T04:00:00Z","Serious","0","1","10","an inadvertent encounter with convective turbulence.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel","https://data.ntsb.gov/Docket?ProjectID=95804"
"ANC17CA041","ACC","95765","2017-08-03T14:00:00Z","Delta Junction","Alaska","United States",,"N351SH","false","Aviation","DirectorBrief","2017-09-22T04:00:00Z","None","0","0","0","The pilot’s failure to maintain clearance from a steel frame attached to a tracked drilling unit. Contributing to the accident was the pilot’s failure to visually identify the steel frame during the reconnaissance process.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Ground equipment - Effect on operation","https://data.ntsb.gov/Docket?ProjectID=95765"
"ANC17LA040","ACC","95762","2017-08-03T11:32:00Z","Solomon","Alaska","United States",,"N4138M","false","Aviation","DirectorBrief","2021-05-05T04:00:00Z","None","0","0","0","The pilot's failure to maintain adequate altitude above water, and his loss of situational awareness, which resulted in an inadvertent descent and collision with water.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Personnel issues - Psychological - Perception/orientation/illusion - Situational awareness - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained","https://data.ntsb.gov/Docket?ProjectID=95762"
"DCA17WA168","INC","95786","2017-08-01T21:10:00Z","Tijuana",,"Mexico",,"N368AR","false","Aviation","None",,"None","0","0","0",,,"https://data.ntsb.gov/Docket?ProjectID=95786"
